number,value,state,params_class_weight_benign,params_classifier_dropout,params_entropy_lambda,params_learning_rate,params_patch_proj_dropout,params_weight_decay,user_attrs_best_avg_val_loss,user_attrs_best_epoch,user_attrs_best_epoch_fold_val_accs,user_attrs_best_epoch_fold_val_losses,user_attrs_early_stopped_epoch,user_attrs_per_fold_best_val_loss,user_attrs_pruned_epoch
10,0.324307902268089,COMPLETE,3.637997627258301,0.29177170991897583,0.00041304971521047214,6.115302238095556e-05,0.34503594040870667,1.0694741619531167e-06,0.324307902268089,5.0,"[0.7777777777777778, 0.7777777777777778, 0.8421052631578947, 0.8947368421052632, 0.8947368421052632]","[0.42616219427468927, 0.29166097614966524, 0.3332736433459152, 0.30430344292529443, 0.26613925464488075]",19.0,"[0.31090345466186087, 0.2757938121195404, 0.21515967806618919, 0.30430344292529443, 0.10815154394626796]",
11,0.38018163651193015,PRUNED,2.3474111557006836,0.3518630564212799,2.0474693143535306e-05,0.00017584470517591162,0.545991063117981,0.00020148105193433343,,,,,,,7.0
12,0.280127386172044,COMPLETE,2.0461606979370117,0.4186336398124695,0.00012738299977474394,0.0003572139161506529,0.36385440826416016,3.615245890662917e-06,0.280127386172044,11.0,"[0.9444444444444444, 0.9444444444444444, 0.8947368421052632, 0.9473684210526315, 0.8947368421052632]","[0.15055627944209643, 0.10661203989309974, 0.2875292614300849, 0.5209126955995591, 0.3350266544953797]",19.0,"[0.11661895306055056, 0.10661203989309974, 0.10420248346776767, 0.36299609285872164, 0.21528206205010447]",
13,0.27995753928842704,COMPLETE,3.939164161682129,0.3256237506866455,0.002535409027492057,3.267512337881155e-05,0.16465136408805847,0.00010186364448807568,0.27995753928842704,9.0,"[0.7777777777777778, 0.9444444444444444, 0.8421052631578947, 0.8421052631578947, 0.8947368421052632]","[0.2840136259029451, 0.12057173574855067, 0.2154279466386039, 0.5115967353167195, 0.26817765283531597]",18.0,"[0.2759405091411382, 0.0786587789202397, 0.17528197113854035, 0.3405377587799816, 0.26817765283531597]",
14,0.5141133599592672,PRUNED,3.4554524421691895,0.5323695540428162,0.00170762531720977,9.84783652998268e-05,0.46373450756073,2.142592647681513e-05,,,,,,,13.0
15,0.3114872813687862,COMPLETE,2.5591542720794678,0.22381407022476196,3.376272858313084e-05,0.0006827596417469723,0.26479411125183105,0.0006058001920167675,0.3114872813687862,3.0,"[0.8333333333333334, 0.9444444444444444, 0.8421052631578947, 0.8421052631578947, 0.8947368421052632]","[0.3429974244386863, 0.12380046098911003, 0.37204459373300014, 0.4159620260904142, 0.3026319015927201]",21.0,"[0.170299715832998, 0.12380046098911003, 0.3036642067268794, 0.318692160510385, 0.1796621495194642]",
16,7.067359254163344,PRUNED,2.0254937208317894,0.20106418719189342,0.0008635538223004313,0.006845570267272932,0.2534793294566451,1.1007502845286314e-05,,,,,,,7.0
17,0.4305892306842912,PRUNED,2.867150013651734,0.2694505616460059,0.0001666000816595018,1.1137414908293512e-05,0.3249762365005597,7.842339288307856e-06,,,,,,,7.0
18,1.108208640409582,PRUNED,2.2396039287911647,0.20216004218366318,0.0015084219374862833,0.002482076244951997,0.4095299967750947,0.00035290215232969036,,,,,,,7.0
19,0.2710232688484802,COMPLETE,2.7332886292990315,0.24189380053836124,0.0002776284686557821,1.5446534826613e-05,0.29286261583271167,7.878116301739337e-05,0.2710232688484802,15.0,"[0.7777777777777778, 1.0, 0.8947368421052632, 0.8947368421052632, 0.8421052631578947]","[0.3063541082835097, 0.13444747121866385, 0.22208111708076964, 0.42232557009648236, 0.26990807756297536]",23.0,"[0.3063541082835097, 0.07626813236917467, 0.18203368670554865, 0.3404584281930798, 0.2691209712586562]",
20,0.7384550035735795,PRUNED,3.178675220676163,0.27476246677559313,0.0008497130171878215,0.0015288882051895953,0.23191684535269236,2.2908650216339272e-05,,,,,,,7.0
21,0.40734549804443587,PRUNED,2.770338211442781,0.23114555100169887,0.0002422225202188581,1.3050156184927942e-05,0.32220490224800546,8.455263137091273e-05,,,,,,,7.0
